timeReceived,version,timeIssued,type,id,label
1522681530654,1,1522681530650,TASK_START,10000,10000
1522681546854,1,1522681546812,BASELINE_START,20000,20000
1522681726859,1,1522681726816,BASELINE_END,20000,20000
1522681726901,1,1522681726817,BREAK_START,1000,1000
1522681756861,1,1522681756819,BREAK_END,1000,1000
1522681756902,1,1522681756821,TRAINING_START,0,2
1522681786873,1,1522681786831,TRAINING_END,0,2
1522681786914,1,1522681786832,BREAK_START,1001,1001
1522681816880,1,1522681816836,BREAK_END,1001,1001
1522681816923,1,1522681816837,TRAINING_START,1,2
1522681846887,1,1522681846845,TRAINING_END,1,2
1522681846929,1,1522681846847,BREAK_START,1002,1002
1522681876892,1,1522681876848,BREAK_END,1002,1002
1522681876934,1,1522681876849,TRAINING_START,2,0
1522681906900,1,1522681906858,TRAINING_END,2,0
1522681906941,1,1522681906860,BREAK_START,1003,1003
1522681936905,1,1522681936862,BREAK_END,1003,1003
1522681936947,1,1522681936863,TRAINING_START,3,0
1522681966916,1,1522681966872,TRAINING_END,3,0
1522681966958,1,1522681966874,BREAK_START,1004,1004
1522681996922,1,1522681996877,BREAK_END,1004,1004
1522681996964,1,1522681996878,TRAINING_START,4,2
1522682026930,1,1522682026887,TRAINING_END,4,2
1522682026972,1,1522682026889,BREAK_START,1005,1005
1522682056933,1,1522682056891,BREAK_END,1005,1005
1522682056974,1,1522682056892,TRAINING_START,5,2
1522682086945,1,1522682086902,TRAINING_END,5,2
1522682086987,1,1522682086904,BREAK_START,1006,1006
1522682116948,1,1522682116905,BREAK_END,1006,1006
1522682116989,1,1522682116905,TRAINING_START,6,0
1522682146955,1,1522682146914,TRAINING_END,6,0
1522682146996,1,1522682146914,BREAK_START,1007,1007
1522682176960,1,1522682176916,BREAK_END,1007,1007
1522682177002,1,1522682176917,TRAINING_START,7,2
1522682206969,1,1522682206926,TRAINING_END,7,2
1522682207010,1,1522682206929,BREAK_START,1008,1008
1522682236974,1,1522682236929,BREAK_END,1008,1008
1522682237016,1,1522682236933,TRAINING_START,8,2
1522682266985,1,1522682266943,TRAINING_END,8,2
1522682267027,1,1522682266944,BREAK_START,1009,1009
1522682296987,1,1522682296945,BREAK_END,1009,1009
1522682297029,1,1522682296946,TRAINING_START,9,0
1522682326999,1,1522682326956,TRAINING_END,9,0
1522682327040,1,1522682326957,BREAK_START,1010,1010
1522682357000,1,1522682356959,BREAK_END,1010,1010
1522682357041,1,1522682356959,TRAINING_START,10,0
1522682387011,1,1522682386968,TRAINING_END,10,0
1522682387052,1,1522682386969,BREAK_START,1011,1011
1522682417014,1,1522682416970,BREAK_END,1011,1011
1522682417056,1,1522682416972,TRAINING_START,11,0
1522682447024,1,1522682446981,TRAINING_END,11,0
1522682447065,1,1522682446982,BREAK_START,1012,1012
1522682477029,1,1522682476984,BREAK_END,1012,1012
1522682477071,1,1522682476985,TRAINING_START,12,2
